date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,vapor_pressure_deficit_max,wind_speed_10m_max,wind_direction_10m_dominant,soil_temperature_0_to_7cm_mean,soil_moisture_0_to_7cm_mean
1980-04-17 17:00:00+00:00,25.588915,29.866,22.716,3.5,3.5,3.9265044,19.96,1.0710967,10.853866,325.09744,26.920168,0.47104168
1980-04-18 17:00:00+00:00,25.678497,28.866,22.666,1.9000001,1.9000001,3.622917,18.46,0.91552234,9.0,328.39258,26.932665,0.4728333
1980-04-19 17:00:00+00:00,25.720167,30.166,22.266,2.1,2.1,3.7932518,18.72,1.2608101,10.799999,228.16043,26.872252,0.4696249
1980-04-20 17:00:00+00:00,25.576418,27.616,24.016,5.2000003,5.2000003,1.9591786,9.53,0.54236674,7.9932966,218.30667,26.3535,0.4734999
1980-04-21 17:00:00+00:00,25.088915,28.816,22.966,7.8000007,7.8000007,2.3757598,11.43,0.9040408,7.5685663,235.58878,26.205582,0.48304167
1980-04-22 17:00:00+00:00,24.58475,27.416,22.966,12.1,12.1,1.982538,9.71,0.64852905,8.28,198.98769,25.72225,0.49283338
1980-04-23 17:00:00+00:00,25.25767,30.316,22.616,15.200001,15.200001,3.2673128,15.99,1.2059956,7.5599995,202.24907,26.407667,0.478875
1980-04-24 17:00:00+00:00,25.818083,30.816,22.516,7.4999995,7.4999995,3.8243823,18.76,1.3218532,6.12,192.12706,26.861834,0.468125
1980-04-25 17:00:00+00:00,25.220167,29.366,22.466,13.399999,13.399999,3.5187218,17.72,0.9672928,8.654986,155.2246,26.80558,0.48250008
1980-04-26 17:00:00+00:00,25.386833,29.766,22.266,3.6000001,3.6000001,3.7702882,18.94,1.1454635,6.725354,136.66827,26.928497,0.43783334
1980-04-27 17:00:00+00:00,25.097252,29.666,21.816,8.5,8.5,3.8423162,19.38,1.2290235,8.049845,105.70869,26.709747,0.47345838
1980-04-28 17:00:00+00:00,24.995169,29.616,21.766,10.5,10.5,3.2965167,16.39,1.2770529,6.725354,137.43666,26.541,0.47670838
1980-04-29 17:00:00+00:00,25.253496,29.516,22.566,8.099999,8.099999,3.311967,16.59,0.9747224,8.209263,106.1646,26.68058,0.47079173
1980-04-30 17:00:00+00:00,25.00975,29.666,22.616,15.3,15.3,3.2745566,16.47,1.0940485,8.39657,93.17977,26.618086,0.46629167
1980-05-01 17:00:00+00:00,25.143082,28.966,23.116,24.5,24.5,3.1767998,15.87,0.95909286,7.968939,91.15343,26.541,0.46587494
1980-05-02 17:00:00+00:00,26.007666,30.516,21.466,0.0,0.0,4.5406895,22.5,1.658556,8.669949,76.7809,26.895164,0.43925
1980-05-03 17:00:00+00:00,25.413918,30.116,21.316,14.499999,14.499999,3.8882205,19.55,1.2706172,7.6367526,44.999775,26.809748,0.4480833
1980-05-04 17:00:00+00:00,25.268084,28.616,23.366,15.100001,15.100001,2.333174,11.38,0.89481735,5.6002855,158.40457,26.555582,0.4613334
1980-05-05 17:00:00+00:00,25.074333,28.416,22.766,7.299999,7.299999,2.3870158,11.68,0.78565526,5.3999996,182.43663,26.213915,0.46995834
1980-05-06 17:00:00+00:00,24.820168,29.666,22.866,18.1,18.1,2.62315,13.0,1.1486752,9.422101,84.73244,26.165998,0.4919167
1980-05-07 17:00:00+00:00,25.893084,30.616,22.516,2.2,2.2,3.5576756,17.65,1.2581336,9.826088,100.64728,26.793081,0.468375
1980-05-08 17:00:00+00:00,25.33267,30.016,22.516,14.0,14.0,3.4027996,17.03,1.047725,6.87779,176.18616,26.849335,0.45837498
1980-05-09 17:00:00+00:00,25.4785,29.666,21.716,0.8000001,0.8000001,4.0725517,20.43,1.3246837,7.5685663,1.9751042,27.026415,0.47837493
1980-05-10 17:00:00+00:00,24.891,27.666,22.266,11.0,11.0,2.6373632,13.46,0.76477623,7.69592,4.763597,26.286835,0.48337495
1980-05-11 17:00:00+00:00,25.543081,30.166,22.116,0.0,0.0,4.0994544,20.55,1.4884377,9.659814,78.74359,26.718084,0.47683334
1980-05-12 17:00:00+00:00,25.993082,30.016,22.116,0.5,0.5,4.1006584,20.36,1.5516753,8.669949,88.178535,26.622252,0.4640833
1980-05-13 17:00:00+00:00,26.00975,30.466,21.066,1.2,1.2,4.2563653,20.97,1.5794811,7.7879906,76.715126,26.893084,0.455375
1980-05-14 17:00:00+00:00,26.424337,30.266,23.416,1.3000001,1.3000001,4.0815535,19.99,1.5187244,6.489992,259.38034,27.44725,0.45020828
1980-05-15 17:00:00+00:00,25.641,29.666,21.516,0.3,0.3,3.9866612,19.85,1.3587875,9.19939,60.433487,26.945166,0.44175002
1980-05-16 17:00:00+00:00,26.026419,29.466,22.066,0.5,0.5,4.030223,20.11,1.4031048,8.669949,65.00429,26.922249,0.43658337
1980-05-17 17:00:00+00:00,26.022253,30.566,21.166,0.70000005,0.70000005,4.19571,20.78,1.7921908,5.0142193,96.05409,26.955582,0.42583334
1980-05-18 17:00:00+00:00,25.497252,29.616,21.666,2.0000002,2.0000002,3.4944131,17.29,1.1904986,6.379216,186.24182,26.697248,0.4244999
1980-05-19 17:00:00+00:00,25.93892,29.466,22.166,1.1,1.1,3.8209846,19.2,1.1750429,6.9153743,107.81896,27.111837,0.43254164
1980-05-20 17:00:00+00:00,25.9285,29.466,22.116,0.3,0.3,3.8982408,19.58,1.2684703,7.386582,114.04426,27.122252,0.42962503
1980-05-21 17:00:00+00:00,26.203499,30.066,22.316,0.2,0.2,3.859578,19.2,1.5720518,5.904439,75.57931,27.080584,0.42545834
1980-05-22 17:00:00+00:00,26.468084,30.266,22.766,0.0,0.0,4.367966,21.59,1.6938095,8.39657,85.05177,27.111832,0.40787506
1980-05-23 17:00:00+00:00,26.426416,30.216,21.716,0.3,0.3,3.9616551,19.38,1.5514119,7.145796,97.049065,27.118088,0.39150003
1980-05-24 17:00:00+00:00,26.6785,30.866,22.016,1.1,1.1,4.013521,19.65,1.6968937,8.942214,98.79049,27.261831,0.38425004
1980-05-25 17:00:00+00:00,26.278503,30.266,22.866,3.6999998,3.6999998,3.731248,18.75,1.3262556,10.703569,99.29325,27.31392,0.40637496
1980-05-26 17:00:00+00:00,25.491003,29.616,23.316,11.1,11.1,3.0524557,15.25,1.0511954,7.8954163,105.208115,26.888922,0.45875
1980-05-27 17:00:00+00:00,25.10142,29.666,22.216,4.6,4.6,3.4732332,17.64,1.193547,9.19939,102.380775,26.7535,0.4628333
1980-05-28 17:00:00+00:00,25.374336,29.666,22.516,2.4,2.4,3.5956678,18.23,1.2466228,8.0899935,102.76556,26.72642,0.465
1980-05-29 17:00:00+00:00,25.841003,29.916,21.966,0.2,0.2,3.9067085,19.42,1.3984485,5.815978,73.53994,26.93892,0.44900003
