temperature_2m_mean,soil_moisture_0_to_7cm_mean,temp_anomaly,aridity_index,month_sin,month_cos,precip_30d_sum,et0_30d_sum,temp_30d_mean,soil_moist_30d_mean,precip_90d_sum,et0_90d_sum,precip_180d_sum,et0_180d_sum,spei_90d,spei_180d,soil_water_deficit,water_balance_lag_1,water_balance_lag_7,water_balance_lag_30
25.163918,0.45799997,-0.012815472043012477,0.8255203290216596,-0.4999999999999997,-0.8660254037844388,107.89999604,105.26940590000001,25.583708933333337,0.4443847043333333,491.69999559,313.7831814,1215.30000329,627.4306363,0.26437565067899244,-0.8199311384107794,0.6129359000000001,2.8073350999999995,-3.7841291,-3.476205
25.301416,0.44875002,0.12468252795698831,0.19436505480941438,-0.4999999999999997,-0.8660254037844388,108.49999609000001,105.1359686,25.565028333333334,0.445720817,481.69999564000005,314.59005260000004,1211.20000364,627.8942922,0.19285961587639483,-0.8391846076646381,2.9014706500000003,-0.6129359000000001,-2.3487564,-3.634908
25.361837,0.45675004,0.18510352795698992,1.5418944432703972,-0.4999999999999997,-0.8660254037844388,112.99999609000001,105.05824229999999,25.560306233333332,0.44745276433333336,457.59999464000003,315.5637677,1205.60000464,627.7152096,0.02693066860306217,-0.8620547489563365,0.0,-2.9014706500000003,-2.7632203,-2.7502009999999997
25.270166,0.460875,0.09343252795698831,0.6019779550857024,-0.4999999999999997,-0.8660254037844388,114.99999609000001,104.4485838,25.53065336666667,0.44958192966666666,451.29999464,315.7160421,1205.60000444,628.4741844,-0.015768191607398552,-0.8652567657752761,1.3223808,1.8275253,-1.1030691,-3.9320393
25.713919,0.44695833,0.5371855279569893,0.3931387022433778,-0.4999999999999997,-0.8660254037844388,115.69999599,103.9600791,25.527250600000002,0.4517291520000001,446.39999464,316.5546871,1199.1000034400001,629.2030984,-0.053744505921070176,-0.8957546180269128,2.3154473,-1.3223808,-2.6941731000000004,-3.5039518999999997
25.538918,0.4432917,0.3621845279569875,0.5989783141327507,-0.4999999999999997,-0.8660254037844388,116.09999609000002,103.82194340000001,25.503847866666668,0.4539847113333334,441.99999464,317.07261669999997,1183.10000344,628.8919076000001,-0.08628961722558742,-0.9619436636839331,1.40597,-2.3154473,-1.3356354000000001,-1.9441058
24.949335,0.46016657,-0.22739847204301,1.9807144436998423,-0.4999999999999997,-0.8660254037844388,98.59999909000001,103.81358949999999,25.487736733333335,0.455358319,416.89999464,317.3225967,1181.6000037400001,629.4668144,-0.2540467808635708,-0.9706974243621203,0.0,-1.40597,2.8073350999999995,20.6109726
24.25142,0.468375,-0.9253134720430118,4.170920233305852,-0.4999999999999997,-0.8660254037844388,92.69999809000001,103.5183729,25.451764599999997,0.4548708206666667,412.59999364000004,318.597525,1179.9000017399999,629.7562471,-0.29093968282445165,-0.979090590631869,0.0,3.1193294999999996,-0.6129359000000001,13.815427
24.201422,0.4608333,-0.9753114720430105,4.363921351096905,-0.4999999999999997,-0.8660254037844388,97.79999769000001,102.9337262,25.422181500000004,0.45363053999999997,423.79999364,317.1719929,1188.60000174,629.274911,-0.20738839582082033,-0.9403557276751989,0.0,8.2106426,-2.9014706500000003,3.3342788
24.420166,0.49187493,-0.7565674720430131,10.0,-0.4999999999999997,-0.8660254037844388,120.59999959000001,101.769957,25.393987066666668,0.45358053666666664,444.89999564000004,315.58502330000005,1211.3000036399999,629.1678053,-0.05725407590611106,-0.844135506816055,0.0,9.018925099999999,1.8275253,-1.7033038999999999
24.836832,0.46891668,-0.33990147204301024,0.0,-0.4999999999999997,-0.8660254037844388,105.29999959,103.10756950000001,25.390862066666667,0.45264442600000004,442.99999554000004,316.2398668,1196.70000264,631.9187947,-0.07416112340179565,-0.9173370787862283,4.2777605,22.2604672,-1.3223808,12.359852
